service_id,date,exception_type
2020-M30_A-Semaine-08,20200521,2
2020-M30_C-Dimanche-10,20200510,2
2020-M30_C-Dimanche-10,20200517,2
2020-M30_C-Dimanche-10,20200508,1
2020-M30_C-Dimanche-10,20200521,1
2020-M32_APCA-Semaine-11,20200413,2
2020-M32_A-Semaine-01,20200508,2
2020-M32_A-Semaine-01,20200521,2
2020-M35_APCA-Semaine-12,20200413,2
2020-M35_CPCA-Dimanche-12,20200413,1
2020-M33_C-Dimanche-02,20200508,1
2020-M33_C-Dimanche-02,20200521,1
2020-M33_A-Semaine-07,20200508,2
2020-M33_A-Semaine-07,20200521,2
2020-M34_A-Semaine-06,20200508,2
2020-M34_A-Semaine-06,20200521,2
2020-M36_APCA-Semaine-11,20200413,2
2020-M36_A3-Semaine-03,20200508,2
2020-M36_A3-Semaine-03,20200521,2
2020-M37_A1-L-Ma-J-V-01,20200508,2
2020-M37_A1-L-Ma-J-V-01-1101100,20200508,2
2020-M37_A1-L-Ma-J-V-01,20200521,2
2020-M37_A1-L-Ma-J-V-01-1101100,20200521,2
2020-M38_APCA-Semaine-11,20200413,2
2020-M38_CPCA-Dimanche-11,20200413,1
2020-M38_C1-Dimanche-01,20200508,1
2020-M38_C1-Dimanche-01,20200521,1
2020-M38_A-L-Ma-J-V-03,20200508,2
2020-M38_A-L-Ma-J-V-03-1101100,20200508,2
2020-M38_A-L-Ma-J-V-03,20200521,2
2020-M38_A-L-Ma-J-V-03-1101100,20200521,2
2020-M39_A2-Semaine-04,20200508,2
2020-M39_A2-Semaine-04,20200521,2
2020-M40_APCA-Semaine-11,20200413,2
2020-M40_A-Semaine-02,20200508,2
2020-M40_A-Semaine-02,20200521,2
2020-M41_APCA-Semaine-11,20200413,2
2020-M41_A-Semaine-03,20200508,2
2020-M41_A-Semaine-03,20200521,2
2020-M42_A-Semaine-01,20200508,2
2020-M42_A-Semaine-01,20200521,2
2020-M43_C-Dimanche-01,20200508,1
2020-M43_C-Dimanche-01,20200521,1
2020-M43_A-Semaine-01,20200508,2
2020-M43_A-Semaine-01,20200521,2
2020-M44_APCA-Semaine-11,20200413,2
2020-M44_A2-Semaine-01,20200508,2
2020-M44_A2-Semaine-01,20200521,2
2020-M45_APCA-Semaine-11,20200413,2
2020-M45_C2-Dimanche-01,20200508,1
2020-M45_C2-Dimanche-01,20200521,1
2020-M45_A2-Semaine-02,20200508,2
2020-M45_A2-Semaine-02,20200521,2
2020-M46_APCA-Semaine-10,20200413,2
2020-M46_A2-Semaine-01,20200508,2
2020-M46_A2-Semaine-01,20200521,2
2020-M47_A-Semaine-02,20200508,2
2020-M47_A-Semaine-02,20200521,2
2020-M49_APC2-Semaine-10,20200413,2
2020-M49_A-Semaine-01,20200508,2
2020-M49_A-Semaine-01,20200521,2
2020-M58_A-Jeu-Ven-02,20200508,2
2020-M58_A-Jeu-Ven-02,20200521,2
2020-M58_A-Jeu-Ven-02,20200520,1
2020-M58_C-Dimanche-02,20200510,2
2020-M58_C-Dimanche-02,20200517,2
2020-M58_C-Dimanche-02,20200524,2
2020-M58_C-Dimanche-02,20200508,1
2020-M58_C-Dimanche-02,20200521,1
2020-M68_C-Dimanche-01,20200413,1
2020-M68_C-Dimanche-01,20200508,1
2020-M68_C-Dimanche-01,20200521,1
2020-M69_A-Semaine-03,20200501,2
2020-M69_A-Semaine-03,20200508,2
2020-M69_A-Semaine-03,20200521,2
2020-M69_C-Dimanche-01,20200508,1
2020-M69_C-Dimanche-01,20200521,1
2020-M71_C2-Dimanche-02,20200508,1
2020-M71_C2-Dimanche-02,20200521,1
2020-M71_A2-Semaine-03,20200508,2
2020-M71_A2-Semaine-03-1101100,20200508,2
2020-M71_A2-Semaine-03,20200521,2
2020-M71_A2-Semaine-03-1101100,20200521,2
2020-M72_A1-Semaine-03,20200508,2
2020-M72_A1-Semaine-03,20200521,2
2020-M73_C-Dimanche-01,20200508,1
2020-M73_C-Dimanche-01,20200521,1
2020-M73_A-Semaine-01,20200508,2
2020-M73_A-Semaine-01,20200521,2
2020-M75_C-Dimanche-01,20200413,1
2020-M75_C-Dimanche-01,20200508,1
2020-M75_C-Dimanche-01,20200521,1
2020-M76_A1-Semaine-01,20200508,2
2020-M76_A1-Semaine-01,20200521,2
2020-M80_A-Semaine-01,20200508,2
2020-M80_A-Semaine-01-0010000,20200508,2
2020-M80_A-Semaine-01,20200521,2
2020-M80_A-Semaine-01-0010000,20200521,2
2020-M83_A1-Semaine-03,20200508,2
2020-M83_A1-Semaine-03,20200521,2
2020-M84_APCA-Semaine-11,20200413,2
2020-M84_CPCA-Dimanche-11,20200413,1
2020-M84_C-Dimanche-01,20200508,1
2020-M84_C-Dimanche-01,20200521,1
2020-M84_A1-Semaine-01,20200508,2
2020-M84_A1-Semaine-01,20200521,2
2020-M89_A-Semaine-01,20200508,2
2020-M89_A-Semaine-01,20200521,2
2020-M90_APCA-Semaine-11,20200413,2
2020-M90_CPCA-Dimanche-11,20200413,1
2020-M90_C-Dimanche-02,20200508,1
2020-M90_C-Dimanche-02,20200521,1
2020-M90_A-Semaine-02,20200508,2
2020-M90_A-Semaine-02-1111000,20200508,2
2020-M90_A-Semaine-02-0000100,20200508,2
2020-M90_A-Semaine-02-1101100,20200508,2
2020-M90_A-Semaine-02,20200521,2
2020-M90_A-Semaine-02-1111000,20200521,2
2020-M90_A-Semaine-02-0000100,20200521,2
2020-M90_A-Semaine-02-1101100,20200521,2
2020-M91_APCA-Semaine-12,20200413,2
2020-M91_C-Dimanche-02,20200413,1
2020-M91_C-Dimanche-02,20200508,1
2020-M91_C-Dimanche-02,20200521,1
2020-M91_A-Semaine-03,20200508,2
2020-M91_A-Semaine-03-1101100,20200508,2
2020-M91_A-Semaine-03-0010000,20200508,2
2020-M91_A-Semaine-03,20200521,2
2020-M91_A-Semaine-03-1101100,20200521,2
2020-M91_A-Semaine-03-0010000,20200521,2
2020-M93_A-Semaine-02,20200508,2
2020-M93_A-Semaine-02-0010000,20200508,2
2020-M93_A-Semaine-02-1101100,20200508,2
2020-M93_A-Semaine-02,20200521,2
2020-M93_A-Semaine-02-0010000,20200521,2
2020-M93_A-Semaine-02-1101100,20200521,2
2020-MAFFN_A-Lun-Mer-01,20200520,2
2020-MAFFN_A-Jeu-Ven-02,20200508,2
2020-MAFFN_A-Jeu-Ven-02-0001100,20200508,2
2020-MAFFN_A-Jeu-Ven-02,20200521,2
